"timestamp","source","elapsedMs","message","urlapi"
"2019-10-18T02:02:05.318Z","DTSieuRe87","1243","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 522, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 0, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 0, PageSize: 300, PriceFrom: 0, PriceTo: 0, PropSearch: [], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-1243-""Transfer-Encoding=chunked Connection=keep-alive timer-all=1233ms timer-names=68ms code-server=mise-pro","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
"2019-10-18T02:02:45.849Z","DTSieuRe86","112","GetAllCategoriesBySite-""http://172.16.2.26/api/v2/webapi/apicategory/getallcategories?siteID=12&langID=vi-VN""-112","http://172.16.2.26/api/v2/webapi/apicategory/getallcategories?siteID=12&langID=vi-VN"
"2019-10-18T02:02:46.025Z","DTSieuRe86","44","GetProductColorByProductID-""http://172.16.2.26/api/v2/webapi/apiproduct/getcolorbyproductid?productID=85984&langID=vi-VN""-44","http://172.16.2.26/api/v2/webapi/apiproduct/getcolorbyproductid?productID=85984&langID=vi-VN"
"2019-10-18T02:02:47.359Z","DTSieuRe86","45","GetStoreInStock2016-""http://172.16.2.26/api/v2/webapi/apiproduct/searchstorebyproductcode?productCode=0130018000033&brandID=10&provinceID=3&districtID=0""-45","http://172.16.2.26/api/v2/webapi/apiproduct/searchstorebyproductcode?productCode=0130018000033&brandID=10&provinceID=3&districtID=0"
"2019-10-18T02:03:22.872Z","DTSieuRe87","906","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 42, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 0, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 1, PageSize: 10, PriceFrom: 0, PriceTo: 0, PropSearch: [], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-906-""Transfer-Encoding=chunked Connection=keep-alive timer-all=534ms timer-names=36ms code-server=mise-priceap","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
"2019-10-18T02:04:15.794Z","DTSieuRe87","58","GetProductColorByProductID-""http://172.16.2.26/api/v2/webapi/apiproduct/getcolorbyproductid?productID=204423&langID=vi-VN""-58","http://172.16.2.26/api/v2/webapi/apiproduct/getcolorbyproductid?productID=204423&langID=vi-VN"
"2019-10-18T02:05:49.285Z","DTSieuRe87","3352","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 42, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 0, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 0, PageSize: 300, PriceFrom: 0, PriceTo: 0, PropSearch: [], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-3352-""Transfer-Encoding=chunked Connection=keep-alive timer-all=1279ms timer-names=81ms code-server=mise-prod","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
"2019-10-18T02:05:50.573Z","DTSieuRe87","1278","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 42, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 0, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 0, PageSize: 10, PriceFrom: 0, PriceTo: 0, PropSearch: [], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-1278-""Transfer-Encoding=chunked Connection=keep-alive timer-all=907ms timer-names=85ms code-server=mise-pricea","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
"2019-10-18T02:06:14.243Z","DTSieuRe86","659","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 42, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 0, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 1, PageSize: 10, PriceFrom: 0, PriceTo: 0, PropSearch: [], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-659-""Transfer-Encoding=chunked Connection=keep-alive timer-all=179ms timer-names=50ms code-server=mise-product","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
"2019-10-18T02:06:06.310Z","DTSieuRe86","3131","SearchProduct2019 ""http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"" para productQuery { CategoryId: 42, HasPromotion: 0, IsSearchLike: False, Keyword: """", LanguageID: ""vi-VN"", ManufacturerId: 0, ManufacturerIdList: null, OrderByPrice: ""NORMAL"", PageIndex: 0, PageSize: 300, PriceFrom: 0, PriceTo: 0, PropSearch: [], ProvinceId: 3, SiteId: 12, WebStatus: 4, SearchType: null }-3131-""Transfer-Encoding=chunked Connection=keep-alive timer-all=331ms timer-names=48ms code-server=mise-price","http://172.16.2.26/api/v2/webapi/apiproduct/searchproductquery"
